School Name,School Code,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Non-Arrest Law Enforcement Referral
Newton - F A Day Middle,02070315,     952,       1,,,,,,,
Newton - Newton North High,02070505,"   2,146",       5,,,,,,,
Newton - Newton South High,02070510,"   1,886",       5,,,,,,,
Newton - Oak Hill Middle,02070320,     679,       2,,,,,,,
Norfolk County Agricultural - Norfolk County Agricultural,09150705,     592,       1,,,,,,,
North Adams - Drury High,02090505,     550,       2,,,,,,,
North Adams - Greylock,02090015,     274,       2,,,,,,,
North Andover - North Andover High,02110505,"   1,363",       3,,,,,,,
North Andover - North Andover Middle,02110305,"   1,101",       2,,,,,,,
North Attleborough - Amvet Boulevard,02120007,     429,       2,,,,,,,
North Attleborough - North Attleboro High,02120505,"   1,167",       3,,,,,,,
North Attleborough - North Attleborough Middle,02120305,     978,       1,,,,,,,
North Middlesex - Hawthorne Brook,07350030,     502,       1,,,,,,,
North Middlesex - North Middlesex Regional,07350505,     826,       1,,,,,,,
North Reading - North Reading High,02170505,     644,       1,,,,,,,
Northampton - John F Kennedy Middle School,02100410,     595,       1,,,,,,,
Northampton - Northampton High,02100505,     920,       1,,,,,,,
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,04060705,     558,       2,,,,,,,
Northboro-Southboro - Algonquin Regional High,07300505,"   1,280",       1,,,,,,,
Northbridge - Northbridge High,02140505,     544,       1,,,,,,,
Northbridge - Northbridge Middle,02140305,     520,       1,,,,,,,
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,08530605,"   1,343",       2,,,,,,,
Norwood - Dr. Philip O. Coakley Middle School,02200305,     761,       3,,,,,,,
Norwood - Norwood High,02200505,"   1,024",       3,,,,,,,
Old Rochester - Old Rochester Regional High,07400505,     693,      10,   0.4,   1.0,   0.0,   0.0,   0.0,   0.0,   0.0
Old Sturbridge Academy Charter Public School (District) - Old Sturbridge Academy Charter Public School,35150205,     336,       1,,,,,,,
Oxford - Oxford High,02260505,     548,       3,,,,,,,
Palmer - Old Mill Pond,02270008,     664,       1,,,,,,,
Palmer - Palmer High,02270505,     606,       1,,,,,,,
Peabody - J Henry Higgins Middle,02290305,"   1,448",       2,,,,,,,
Peabody - Peabody Veterans Memorial High,02290510,"   1,532",       6,   0.0,   0.2,   0.0,   0.0,   0.3,   0.0,   0.0
Peabody - William A Welch Sr,02290027,     380,       1,,,,,,,
Pentucket - Elmer S Bagnall,07450005,     486,       1,,,,,,,
Pentucket - Pentucket Regional Middle,07450405,     338,       1,,,,,,,
Pentucket - Pentucket Regional Sr High,07450505,     641,       1,,,,,,,
Phoenix Academy Public Charter High School Springfield (District) - Phoenix Academy Public Charter High School Springfield,35080505,     225,       1,,,,,,,
Phoenix Charter Academy (District) - Phoenix Charter Academy,04930505,     231,       0,,,,,,,
Pioneer Charter School of Science II (PCSS-II) (District) - Pioneer Charter School of Science II (PCSS-II),35060505,     391,       2,,,,,,,
Pittsfield - Eagle Education Academy,02360525,      31,       1,,,,,,,
Pittsfield - Egremont,02360035,     439,       5,,,,,,,
Pittsfield - John T Reid Middle,02360305,     489,       4,,,,,,,
Pittsfield - Morningside Community School,02360055,     358,       2,,,,,,,
Pittsfield - Pittsfield High,02360505,     707,       5,,,,,,,
Pittsfield - Silvio O Conte Community,02360105,     341,       1,,,,,,,
Pittsfield - Stearns,02360090,     233,       1,,,,,,,
Pittsfield - Taconic High,02360510,     859,       5,,,,,,,
Plymouth - Plymouth North High,02390505,"   1,356",       4,,,,,,,
Plymouth - Plymouth South High,02390515,"   1,067",       1,,,,,,,
Plymouth - Plymouth South Middle,02390305,     681,       1,,,,,,,
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,04870550,"   1,129",       3,,,,,,,
Quaboag Regional - Quaboag Regional High,07780505,     346,       2,,,,,,,
Quincy - Atlantic Middle,02430305,     554,       1,,,,,,,
Quincy - Central Middle,02430315,     662,       1,,,,,,,
Quincy - North Quincy High,02430510,"   1,472",       1,,,,,,,
Quincy - Point Webster Middle,02430325,     469,       1,,,,,,,
Quincy - Quincy High,02430505,"   1,560",       3,,,,,,,
Quincy - South West Middle School,02430320,     482,       3,,,,,,,
Randolph - Randolph Community Middle,02440410,     666,       2,,,,,,,
Randolph - Randolph High,02440505,     646,       4,,,,,,,
Reading - Reading Memorial High,02460505,"   1,153",       1,,,,,,,
Reading - Wood End Elementary School,02460020,     253,       1,,,,,,,
Revere - Garfield Elementary School,02480056,     778,       1,,,,,,,
Revere - Garfield Middle School,02480057,     599,       5,,,,,,,
Revere - Revere High,02480505,"   2,207",       5,,,,,,,
Revere - Rumney Marsh Academy,02480014,     606,       2,,,,,,,
Revere - Seacoast School,02480520,     104,       1,,,,,,,
Revere - Staff Sargent James J. Hill Elementary School,02480035,     711,       1,,,,,,,
Revere - Susan B. Anthony Middle School,02480305,     616,       4,,,,,,,
Rising Tide Charter Public (District) - Rising Tide Charter Public School,04830305,     676,       2,,,,,,,
Rockland - John W Rogers Middle,02510305,     760,       1,,,,,,,
Roxbury Preparatory Charter (District) - Roxbury Preparatory Charter School,04840505,"   1,649",      13,   0.0,   0.7,   0.0,   0.0,   0.1,   0.0,   0.0
Salem - Collins Middle,02580305,     672,       1,,,,,,,
Salem - Salem High,02580505,     878,       3,,,,,,,
Sandwich - Oak Ridge,02610025,     760,       2,,,,,,,
Saugus - Belmonte STEAM Academy,02620060,     809,       2,,,,,,,
Saugus - Saugus Middle School,02620305,     652,       1,,,,,,,
Scituate - Gates Middle School,02640305,     601,       1,,,,,,,
Seekonk - Dr. Kevin M. Hurley Middle School,02650405,     457,       1,,,,,,,
Seekonk - George R Martin,02650007,     502,       1,,,,,,,
Seekonk - Mildred Aitken School,02650015,     564,       1,,,,,,,
Seekonk - Seekonk High,02650505,     600,       3,,,,,,,
Sharon - Heights Elementary,02660015,     556,       3,,,,,,,
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,08710605,"   1,324",       1,,,,,,,
Sizer School: A North Central Charter Essential (District) - Sizer School: A North Central Charter Essential School,04740505,     379,       2,,,,,,,
Somerset - North Elementary,02730008,     489,       1,,,,,,,
Somerville - E Somerville Community,02740111,     723,       3,,,,,,,
Somerville - Full Circle High School,02740510,      69,       2,,,,,,,
Somerville - Next Wave Junior High,02740410,      27,       1,,,,,,,
Somerville - Somerville High,02740505,"   1,407",       1,,,,,,,
South Hadley - Michael E. Smith Middle School,02780305,     552,       2,,,,,,,
South Hadley - South Hadley High,02780505,     568,       1,,,,,,,
South Middlesex Regional Vocational Technical - Joseph P Keefe Technical High School,08290605,     852,       2,,,,,,,
South Shore Regional Vocational Technical - So Shore Vocational Technical High,08730605,     658,       1,,,,,,,
Southbridge - Charlton Street,02770005,     316,       1,,,,,,,
Southbridge - Southbridge Academy,02770525,      47,       1,,,,,,,
Southbridge - Southbridge Middle School,02770315,     452,       3,,,,,,,
Southern Worcester County Regional Vocational School District - Bay Path Regional Vocational Technical High School,08760605,"   1,180",       4,,,,,,,
Southwick-Tolland-Granville Regional School District - Southwick Regional School,07660505,     667,       1,,,,,,,
Spencer-E Brookfield - David Prouty High,07670505,     353,       1,,,,,,,
Springfield - Chestnut Accelerated Middle School (Talented and Gifted),02810367,     317,       1,,,,,,,
Springfield - Forest Park Middle,02810325,     556,       8,   0.0,   1.3,   0.0,   0.0,   0.2,   0.0,   0.0
Springfield - Glenwood,02810065,     307,       1,,,,,,,
Springfield - High School Of Commerce,02810510,"   1,368",       3,,,,,,,
Springfield - Indian Orchard Elementary,02810100,     610,       1,,,,,,,
Springfield - John F Kennedy Middle,02810328,     492,       2,,,,,,,
Springfield - Kiley Academy,02810316,     244,       2,,,,,,,
Springfield - Kiley Prep,02810315,     205,       3,,,,,,,
Springfield - Liberty,02810115,     285,       1,,,,,,,
Springfield - Lyceum Academy,02810317,     432,       1,,,,,,,
Springfield - M Marcus Kiley Middle,02810330,     252,       3,,,,,,,
Springfield - Milton Bradley School,02810023,     609,       1,,,,,,,
Springfield - Rebecca M Johnson,02810055,     710,       1,,,,,,,
Springfield - Roger L. Putnam Vocational Technical Academy,02810620,"   1,417",       5,,,,,,,
Springfield - South End Middle School,02810355,     253,       2,,,,,,,
Springfield - Springfield Central High,02810500,"   2,254",       1,,,,,,,
Springfield - The Springfield Renaissance School an Expeditionary Learning School,02810205,     630,       4,,,,,,,
Springfield - Van Sickle Academy,02810485,     317,       1,,,,,,,
Springfield - Washington,02810185,     449,       1,,,,,,,
Springfield - White Street,02810190,     449,       1,,,,,,,
Springfield - William N. DeBerry,02810045,     264,       1,,,,,,,
Springfield International Charter (District) - Springfield International Charter School,04410505,"   1,591",       2,,,,,,,
Stoneham - Stoneham Central Middle School,02840405,     728,       1,,,,,,,
Stoughton - O'Donnell Middle School,02850405,     857,       3,,,,,,,
Stoughton - Stoughton High,02850505,"   1,091",       8,   0.0,   0.5,   0.0,   0.2,   0.0,   0.0,   0.0
Swansea - Elizabeth S Brown,02920006,     288,       1,,,,,,,
Swansea - Joseph Case High,02920505,     561,       3,,,,,,,
Swansea - Joseph Case Jr High,02920305,     506,       1,,,,,,,
Tantasqua - Tantasqua Regional Jr High,07700405,     601,       1,,,,,,,
Tantasqua - Tantasqua Regional Vocational,07700605,     531,       1,,,,,,,
Taunton - Benjamin Friedman Middle,02930315,     772,       1,,,,,,,
Taunton - East Taunton Elementary,02930010,     531,       1,,,,,,,
Taunton - John F Parker Middle,02930305,     500,       1,,,,,,,
Taunton - Joseph C Chamberlain,02930008,     489,       1,,,,,,,
Taunton - Joseph H Martin,02930042,     687,       6,   0.0,   0.9,   0.0,   0.0,   0.0,   0.0,   0.0
Taunton - Taunton Alternative High School,02930525,     111,       1,,,,,,,
Taunton - Taunton High,02930505,"   2,871",      16,   0.0,   0.6,   0.0,   0.0,   0.0,   0.0,   0.0
Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,08780605,     947,       1,,,,,,,
Triton - Pine Grove,07730025,     426,       1,,,,,,,
Triton - Salisbury Elementary,07730015,     454,       1,,,,,,,
Tyngsborough - Tyngsborough High School,03010505,     436,       2,,,,,,,
UP Academy Charter School of Boston (District) - UP Academy Charter School of Boston,04800405,     323,       7,   0.0,   2.2,   0.0,   0.0,   0.0,   0.0,   0.0
Wachusett - Thomas Prince,07750045,     361,       1,,,,,,,
Wachusett - Wachusett Regional High,07750505,"   2,007",       1,,,,,,,
Wakefield - Wakefield Memorial High,03050505,     859,       1,,,,,,,
Waltham - John F Kennedy Middle,03080404,     579,       2,,,,,,,
Waltham - John W. McDevitt Middle School,03080415,     669,       2,,,,,,,
Waltham - Waltham Sr High,03080505,"   1,819",       4,,,,,,,
Ware - Stanley M Koziol Elementary School,03090020,     422,       1,,,,,,,
Wareham - John William Decas,03100003,     665,       1,,,,,,,
Wareham - Wareham Middle,03100305,     475,       3,,,,,,,
Wareham - Wareham Senior High,03100505,     649,       2,,,,,,,
Watertown - Watertown High,03140505,     734,       1,,,,,,,
Watertown - Watertown Middle,03140305,     562,       3,,,,,,,
Wayland - Wayland High School,03150505,     835,       1,,,,,,,
Webster - Bartlett High School,03160505,     430,       5,,,,,,,
Webster - Park Avenue Elementary,03160015,     784,       1,,,,,,,
Webster - Webster Middle School,03160315,     622,       7,   0.0,   1.0,   0.0,   0.0,   0.2,   0.0,   0.0
West Bridgewater - West Bridgewater Junior/Senior,03230505,     637,       1,,,,,,,
West Springfield - Philip G Coburn,03320007,     532,       1,,,,,,,
West Springfield - Tatham,03320040,     276,       1,,,,,,,
West Springfield - West Springfield High,03320505,"   1,236",       3,,,,,,,
West Springfield - West Springfield Middle,03320305,     914,       7,   0.0,   0.8,   0.0,   0.0,   0.0,   0.0,   0.0
Westborough - Mill Pond School,03210045,     920,       1,,,,,,,
Westfield - Franklin Ave,03250015,     182,       2,,,,,,,
Westfield - Southampton Road,03250040,     302,       2,,,,,,,
Westfield - Westfield High,03250505,"   1,163",       7,   0.0,   0.6,   0.0,   0.0,   0.0,   0.0,   0.0
Westfield - Westfield Intermediate School,03250075,     714,       4,,,,,,,
Westfield - Westfield Middle School,03250310,     716,       6,   0.1,   0.7,   0.0,   0.0,   0.0,   0.0,   0.0
Westford - Blanchard Middle,03260310,     540,       2,,,,,,,
Westport - Westport Middle-High School,03310515,     841,       2,,,,,,,
Weymouth - Weymouth High School,03360505,"   2,368",       3,,,,,,,
Whitman-Hanson - Hanson Middle School,07800315,     464,       4,,,,,,,
Whitman-Hanson - Whitman Hanson Regional,07800505,"   1,122",       1,,,,,,,
Whitman-Hanson - Whitman Middle,07800310,     524,       1,,,,,,,
Whittier Regional Vocational Technical - Whittier Regional Vocational,08850605,"   1,284",       3,,,,,,,
Wilmington - Wilmington Middle School,03420330,     695,       3,,,,,,,
Winchendon - Murdock High School,03430515,     288,       2,,,,,,,
Winchendon - Murdock Middle School,03430315,     271,       1,,,,,,,
Woburn - John F Kennedy Middle School,03470405,     516,       1,,,,,,,
Woburn - Malcolm White,03470055,     312,       1,,,,,,,
Woburn - Woburn High,03470505,"   1,273",       1,,,,,,,
Worcester - Burncoat Middle School,03480405,     728,       3,,,,,,,
Worcester - Burncoat Senior High,03480503,"   1,260",       2,,,,,,,
Worcester - Claremont Academy,03480350,     572,       3,,,,,,,
Worcester - Doherty Memorial High,03480512,"   1,423",       3,,,,,,,
Worcester - Forest Grove Middle,03480415,     999,       2,,,,,,,
Worcester - Lincoln Street,03480160,     295,       1,,,,,,,
Worcester - North High,03480515,"   1,475",      12,   0.0,   0.8,   0.0,   0.0,   0.0,   0.0,   0.0
Worcester - South High Community,03480520,"   1,677",       5,,,,,,,
Worcester - Sullivan Middle,03480423,     959,       3,,,,,,,
Worcester - University Pk Campus School,03480285,     236,       1,,,,,,,
Worcester - Worcester East Middle,03480420,     828,      10,   0.0,   1.2,   0.0,   0.0,   0.0,   0.0,   0.0
Worcester - Worcester Technical High,03480605,"   1,486",       1,,,,,,,
